Food_Id,Food_Item,Restaurant_Id,Calories,Total_Fat_g,Carbohydrates_g,Protein_g
127,Vanilla Milk Shake,1,660,17,114,12
128,BK Breakfast Muffin Sandwich w Egg and Cheese,1,220,9,22,12
129,Crispy Chicken Jr.,1,430,28,34,12
130,Rodeo Crispy Chicken Sandwich,1,410,17,53,12
131,Spicy Crispy Chicken Jr.,1,410,25,35,12
132,Irish Mint Oreo Shake Medium,1,610,17,103,12
133,Red Velvet Oreo Shake Medium,1,630,17,108,12
134,Hamburger,1,260,10,28,13
135,Sausage Biscuit,1,420,27,32,13
136,WHOPPER JR. wo Cheese,1,340,19,28,14
137,BK Breakfast Muffin Sandwich w Bacon Egg and Cheese,1,250,11,22,14
138,BK Breakfast Muffin Sandwich w Sausage and Cheese,1,330,20,23,14
139,CROISSANWICH Sausage  Cheese,1,380,24,26,14
140,Pancake Platter w Sausage  1 oz Breakfast Syrup,1,670,34,78,14
141,Sausage Breakfast Burrito,1,290,17,21,14
142,Grilled Chili Cheese Dog,1,330,19,28,14
143,Dr Pepper Shake Large,1,560,16,90,14
144,CROISSANWICH Bacon Egg  Cheese,1,380,22,26,15
145,Chicken Nuggets 6 Piece,1,290,17,15,15
146,Jalapeno Chicken Fries,1,300,18,19,15
147,Irish Mint Oreo Shake Large,1,770,21,132,15
148,Red Velvet Oreo Shake Large,1,800,21,138,15
149,Cheeseburger,1,300,14,28,16
150,WHOPPER JR. w Cheese,1,380,23,29,16
151,Ham Egg  Cheese Biscuit,1,420,22,33,16
152,Chicken Fries,1,290,17,18,16
153,Pretzel Chicken Fries,1,340,21,21,16
154,Cinnamon Toast Crunch Shake,1,780,19,137,16
155,Froot Loops Shake,1,720,17,126,16
156,Bacon Egg  Cheese Biscuit,1,470,28,33,17
157,Big Fish Sandwich,1,530,27,54,17
158,Lucky Charms Shake,1,740,17,129,17
159,Bacon Cheeseburger,1,330,16,32,18
160,BK Breakfast Muffin Sandwich w Ham Egg and Cheese,1,250,9,23,18
161,Country Ham and Egg Biscuit,1,420,23,32,18
162,CROISSANWICH Ham Egg  Cheese,1,350,17,27,18
163,CROISSANWICH Sausage Egg  Cheese,1,490,31,27,18
164,BK Breakfast Muffin Sandwich w Sausage Egg and Cheese,1,390,23,23,20
165,Sausage Egg  Cheese Biscuit,1,570,37,34,20
166,Spicy Chicken Nuggets 10 Piece,1,530,37,28,20
167,Chicken Nuggets 10pc,1,470,29,34,21
168,Double Hamburger,1,360,18,28,22
169,DOUBLE CROISSANWICH w Bacon Egg  Cheese,1,490,31,27,22
170,BK VEGGIE Burger,1,410,16,44,22
171,Chicken Burger,1,480,25,42,22
172,King CROISSANWICH w Ham  Sausage,1,530,34,31,23
173,King CROISSANWICH w Sausage and Bacon,1,570,38,31,23
174,Southwestern Breakfast Burrito,1,580,35,42,23
175,Crispy Chicken Sandwich,1,670,41,54,23
176,DOUBLE CROISSANWICH w Ham Bacon Egg  Cheese,1,470,26,27,24
177,DOUBLE CROISSANWICH w Sausage Bacon Egg  Cheese,1,570,37,28,24
178,Original Chicken Sandwich,1,630,39,46,24
179,King CROISSANWICH,1,700,51,31,25
180,Spicy Crispy Chicken Sandwich,1,700,42,57,25
181,Double Cheeseburger,1,450,26,29,26
182,Extra Long Cheeseburger,1,580,33,45,26
183,DOUBLE CROISSANWICH w Ham Egg  Cheese,1,390,19,27,26
184,Breakfast Sourdough King Double Bacon,1,510,24,46,27
185,Fully Loaded CROISSANWICH,1,570,37,32,27
186,WHOPPER wo Cheese,1,660,40,49,28
187,Chicken Apple  Cranberry Salad w Crispy Chicken,1,700,41,54,28
188,DOUBLE CROISSANWICH w Ham Sausage Egg  Cheese,1,570,35,28,28
189,Bacon  Cheese Whopper,1,770,48,47,29
190,Chicken Apple  Cranberry Salad w Grilled Chicken,1,560,30,40,29
191,Garden Grilled Chicken Salad w Crispy Chicken no dressing,1,450,24,30,29
192,DOUBLE CROISSANWICH w Sausage Egg  Cheese,1,700,49,29,29
193,Homestyle Cheeseburger,1,550,27,48,30
194,Crispy Buffalo Chicken Melt,1,580,28,56,30
195,Double Bacon Cheeseburger,1,520,31,33,31
196,Bacon King Jr,1,730,39,63,32
197,Chicken Cordon Bleu Sandwich,1,730,39,63,32
198,Chicken Parmesan Sandwich,1,570,25,57,32
199,Sourdough Chicken Club,1,840,51,62,32
200,WHOPPER w Cheese,1,760,47,53,33
201,Eggnormous Burrito,1,910,55,73,33
202,Chicken Caesar Salad w Crispy Chicken,1,670,43,40,34
203,Breakfast Sourdough King Double Ham,1,530,22,48,34
204,Bacon Cheddar Ranch Crispy Chicken Sandwich,1,830,52,57,34
205,Sourdough King Single,1,730,43,52,35
206,Chicken BLT Salad w Crispy Chicken,1,690,48,31,35
207,Chicken Caesar Salad w Grilled Chicken,1,530,32,26,35
208,Bacon Cheddar Ranch Chicken Salad w crispy Chicken  Dressing,1,720,50,32,36
209,Chicken BLT Salad w Grilled Chicken,1,550,37,17,36
210,Garden Grilled Chicken Salad w Grilled Chicken no dressing,1,320,14,16,36
211,Grilled Chicken Sandwich,1,470,19,39,37
212,Breakfast Sourdough King Double Sausage,1,790,50,47,38
213,Bk Ultimate Breakfast Platter,1,1450,84,134,40
214,Bacon Cheddar Ranch Chicken Salad w grilled Chicken  Dressing,1,590,40,18,42
215,DOUBLE WHOPPER wo Cheese,1,900,57,51,47
216,Mushroom  Swiss King,1,940,63,45,49
217,Steakhouse King,1,1100,74,59,50
218,Chicken Nuggets 20 Piece,1,950,55,50,51
219,DOUBLE WHOPPER w Cheese,1,990,65,53,52
220,Sourdough King Double,1,970,61,52,55
221,Bacon  Swiss Sourdough King,1,1000,65,48,56
222,Double Quarter Pound King,1,900,54,50,56
223,Bacon King,1,1040,48,48,57
224,BBQ Bacon King,1,1100,75,51,57
225,Rodeo King,1,1250,82,69,60
226,Farmhouse King,1,1220,80,62,
227,Barbacoa Burrito,2,460,16,46,31
228,Balsamic Vinaigrette Dressing,3,120,12,4,0
229,Italian Dressing,3,140,14,4,0
230,Anchovies,3,9,1,0,0
231,Bacon,3,54,3,0,0
232,Banana Peppers,3,0,0,0,0
233,Beef,3,63,3,0,0
234,Chedder Cheese,3,45,3,0,0
235,Extra Cheese,3,36,2,0,0
236,Fresh Mushrooms,3,0,0,0,0
237,Green Olives,3,18,0,0,0
238,Green Peppers,3,2,0,0,0
239,Ham,3,9,0,0,0
240,Italian Sausage,3,54,2,0,0
241,Onions,3,0,0,0,0
242,Pepperoni,3,54,2,0,0
243,Pinapple Tidbits,3,0,0,0,0
244,Ripe Olives,3,18,0,0,0
245,Caesar Dressing,3,230,25,1,1
246,Ranch Dressing,3,220,24,2,1
247,Marbled Cookie Brownie,3,190,9,25,2
248,Breadsticks 1,3,116,4,18,3
249,Chocolate Lava Crunch Cake,3,350,17,47,4
250,Dipped Chocolate Chunk Cookie,3,380,18,55,4
251,Cheesy Bread 1,3,142,5,11,4
252,Cinnamon Bread Twists,3,250,12,31,5
253,Classic Garden Salad,3,200,9,17,8
254,Boneless Chicken,3,170,7,18,9
255,Classic Hot Buffalo Specialty Chicken,3,180,10,14,9
256,Spicy Jalapeno  Pineapple Specialty Chicken,3,180,8,22,9
257,Crispy Bacon  Tomato Specialty Chicken,3,250,17,15,11
258,Sweet BBQ Bacon Specialty Chicken,3,210,10,20,11
259,Lg Thin Crust Pizza,3,273,12,31,12
260,BBQ Wings,3,240,13,18,13
261,Fire Wings,3,200,13,8,13
262,Hot Wings,3,200,13,8,13
263,Mild Wings,3,200,13,8,13
264,Plain Wings,3,190,13,7,13
265,Red BBQ Wings,3,230,13,15,13
266,Sweet Mango Habanero Wings,3,240,13,20,13
267,Chicken Apple Pecan Salad,3,190,5,23,13
268,Lg Hand Tossed Cheese Pizza,3,374,11,55,15
269,Pasta Primavera Regular,3,550,27,61,16
270,Chicken Caesar Salad,3,210,7,15,16
271,Philly Cheese Steak,3,320,12,37,17
272,Lg Deep Dish Cheese Pizza,3,455,20,54,18
273,Mediterranean Veggie Sandwich,3,350,14,38,18
274,Pasta Primavera Bread Bowl,3,660,24,91,19
275,Buffalo Chicken Sandwich,3,420,21,37,22
276,Italian Sandwich,3,410,20,36,22
277,6 inch Deep Dish Pizza,3,598,27,68,23
278,Sweet  Spicy Chicken Habanero Sandwich,3,400,16,42,23
279,Chicken Bacon Ranch Sandwich,3,440,22,36,24
280,Chicken Alfredo Pasta Bread Bowl,3,690,25,91,25
281,Italian Sausage Marinara Pasta Bread Bowl,3,730,27,96,25
282,Chicken Parm Sandwich,3,380,15,37,25
283,Chicken Alfredo Pasta Regular,3,620,30,60,27
284,Chicken Carbonara Pasta Bread Bowl,3,730,28,92,27
