Restaurant,Food_Item,Calories,Total_Fat_g,Carbohydrates_g,Protein_g
Burger King,Mozzarella Sticks 4 pc,280,15,24,11
Burger King,Bacon Cheeseburger Deluxe,290,14,28,12
Burger King,Chocolate Milk Shake,690,18,121,12
Burger King,Strawberry Milk Shake,610,17,102,12
Burger King,Vanilla Milk Shake,660,17,114,12
Burger King,BK Breakfast Muffin Sandwich w Egg and Cheese,220,9,22,12
Burger King,Crispy Chicken Jr.,430,28,34,12
Burger King,Rodeo Crispy Chicken Sandwich,410,17,53,12
Burger King,Spicy Crispy Chicken Jr.,410,25,35,12
Burger King,Irish Mint Oreo Shake Medium,610,17,103,12
Burger King,Red Velvet Oreo Shake Medium,630,17,108,12
Burger King,Hamburger,260,10,28,13
Burger King,Sausage Biscuit,420,27,32,13
Burger King,WHOPPER JR. wo Cheese,340,19,28,14
Burger King,BK Breakfast Muffin Sandwich w Bacon Egg and Cheese,250,11,22,14
Burger King,BK Breakfast Muffin Sandwich w Sausage and Cheese,330,20,23,14
Burger King,CROISSANWICH Sausage  Cheese,380,24,26,14
Burger King,Pancake Platter w Sausage  1 oz Breakfast Syrup,670,34,78,14
Burger King,Sausage Breakfast Burrito,290,17,21,14
Burger King,Grilled Chili Cheese Dog,330,19,28,14
Burger King,Dr Pepper Shake Large,560,16,90,14
Burger King,CROISSANWICH Bacon Egg  Cheese,380,22,26,15
Burger King,Chicken Nuggets 6 Piece,290,17,15,15
Burger King,Jalapeno Chicken Fries,300,18,19,15
Burger King,Irish Mint Oreo Shake Large,770,21,132,15
Burger King,Red Velvet Oreo Shake Large,800,21,138,15
Burger King,Cheeseburger,300,14,28,16
Burger King,WHOPPER JR. w Cheese,380,23,29,16
Burger King,Ham Egg  Cheese Biscuit,420,22,33,16
Burger King,Chicken Fries,290,17,18,16
Burger King,Pretzel Chicken Fries,340,21,21,16
Burger King,Cinnamon Toast Crunch Shake,780,19,137,16
Burger King,Froot Loops Shake,720,17,126,16
Burger King,Bacon Egg  Cheese Biscuit,470,28,33,17
Burger King,Big Fish Sandwich,530,27,54,17
Burger King,Lucky Charms Shake,740,17,129,17
Burger King,Bacon Cheeseburger,330,16,32,18
Burger King,BK Breakfast Muffin Sandwich w Ham Egg and Cheese,250,9,23,18
Burger King,Country Ham and Egg Biscuit,420,23,32,18
Burger King,CROISSANWICH Ham Egg  Cheese,350,17,27,18
Burger King,CROISSANWICH Sausage Egg  Cheese,490,31,27,18
Burger King,BK Breakfast Muffin Sandwich w Sausage Egg and Cheese,390,23,23,20
Burger King,Sausage Egg  Cheese Biscuit,570,37,34,20
Burger King,Spicy Chicken Nuggets 10 Piece,530,37,28,20
Burger King,Chicken Nuggets 10pc,470,29,34,21
Burger King,Double Hamburger,360,18,28,22
Burger King,DOUBLE CROISSANWICH w Bacon Egg  Cheese,490,31,27,22
Burger King,BK VEGGIE Burger,410,16,44,22
Burger King,Chicken Burger,480,25,42,22
Burger King,King CROISSANWICH w Ham  Sausage,530,34,31,23
Burger King,King CROISSANWICH w Sausage and Bacon,570,38,31,23
Burger King,Southwestern Breakfast Burrito,580,35,42,23
Burger King,Crispy Chicken Sandwich,670,41,54,23
Burger King,DOUBLE CROISSANWICH w Ham Bacon Egg  Cheese,470,26,27,24
Burger King,DOUBLE CROISSANWICH w Sausage Bacon Egg  Cheese,570,37,28,24
Burger King,Original Chicken Sandwich,630,39,46,24
Burger King,King CROISSANWICH,700,51,31,25
Burger King,Spicy Crispy Chicken Sandwich,700,42,57,25
Burger King,Double Cheeseburger,450,26,29,26
Burger King,Extra Long Cheeseburger,580,33,45,26
Burger King,DOUBLE CROISSANWICH w Ham Egg  Cheese,390,19,27,26
Burger King,Breakfast Sourdough King Double Bacon,510,24,46,27
Burger King,Fully Loaded CROISSANWICH,570,37,32,27
Burger King,WHOPPER wo Cheese,660,40,49,28
Burger King,Chicken Apple  Cranberry Salad w Crispy Chicken,700,41,54,28
Burger King,DOUBLE CROISSANWICH w Ham Sausage Egg  Cheese,570,35,28,28
Burger King,Bacon  Cheese Whopper,770,48,47,29
Burger King,Chicken Apple  Cranberry Salad w Grilled Chicken,560,30,40,29
Burger King,Garden Grilled Chicken Salad w Crispy Chicken no dressing,450,24,30,29
Burger King,DOUBLE CROISSANWICH w Sausage Egg  Cheese,700,49,29,29
Burger King,Homestyle Cheeseburger,550,27,48,30
Burger King,Crispy Buffalo Chicken Melt,580,28,56,30
Burger King,Double Bacon Cheeseburger,520,31,33,31
Burger King,Bacon King Jr,730,39,63,32
Burger King,Chicken Cordon Bleu Sandwich,730,39,63,32
Burger King,Chicken Parmesan Sandwich,570,25,57,32
Burger King,Sourdough Chicken Club,840,51,62,32
Burger King,WHOPPER w Cheese,760,47,53,33
Burger King,Eggnormous Burrito,910,55,73,33
Burger King,Chicken Caesar Salad w Crispy Chicken,670,43,40,34
Burger King,Breakfast Sourdough King Double Ham,530,22,48,34
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,52,57,34
Burger King,Sourdough King Single,730,43,52,35
Burger King,Chicken BLT Salad w Crispy Chicken,690,48,31,35
Burger King,Chicken Caesar Salad w Grilled Chicken,530,32,26,35
Burger King,Bacon Cheddar Ranch Chicken Salad w crispy Chicken  Dressing,720,50,32,36
Burger King,Chicken BLT Salad w Grilled Chicken,550,37,17,36
Burger King,Garden Grilled Chicken Salad w Grilled Chicken no dressing,320,14,16,36
Burger King,Grilled Chicken Sandwich,470,19,39,37
Burger King,Breakfast Sourdough King Double Sausage,790,50,47,38
Burger King,Bk Ultimate Breakfast Platter,1450,84,134,40
Burger King,Bacon Cheddar Ranch Chicken Salad w grilled Chicken  Dressing,590,40,18,42
Burger King,DOUBLE WHOPPER wo Cheese,900,57,51,47
Burger King,Mushroom  Swiss King,940,63,45,49
Burger King,Steakhouse King,1100,74,59,50
Burger King,Chicken Nuggets 20 Piece,950,55,50,51
Burger King,DOUBLE WHOPPER w Cheese,990,65,53,52
Burger King,Sourdough King Double,970,61,52,55
Burger King,Bacon  Swiss Sourdough King,1000,65,48,56
Burger King,Double Quarter Pound King,900,54,50,56
Burger King,Bacon King,1040,48,48,57
Burger King,BBQ Bacon King,1100,75,51,57
Burger King,Rodeo King,1250,82,69,60
Burger King,Farmhouse King,1220,80,62,
Chipotle,Barbacoa Burrito,460,16,46,31
Dominos,Balsamic Vinaigrette Dressing,120,12,4,0
Dominos,Italian Dressing,140,14,4,0
Dominos,Anchovies,9,1,0,0
Dominos,Bacon,54,3,0,0
Dominos,Banana Peppers,0,0,0,0
Dominos,Beef,63,3,0,0
Dominos,Chedder Cheese,45,3,0,0
Dominos,Extra Cheese,36,2,0,0
Dominos,Fresh Mushrooms,0,0,0,0
Dominos,Green Olives,18,0,0,0
Dominos,Green Peppers,2,0,0,0
Dominos,Ham,9,0,0,0
Dominos,Italian Sausage,54,2,0,0
Dominos,Onions,0,0,0,0
Dominos,Pepperoni,54,2,0,0
Dominos,Pinapple Tidbits,0,0,0,0
Dominos,Ripe Olives,18,0,0,0
Dominos,Caesar Dressing,230,25,1,1
Dominos,Ranch Dressing,220,24,2,1
Dominos,Marbled Cookie Brownie,190,9,25,2
Dominos,Breadsticks 1,116,4,18,3
Dominos,Chocolate Lava Crunch Cake,350,17,47,4
Dominos,Dipped Chocolate Chunk Cookie,380,18,55,4
Dominos,Cheesy Bread 1,142,5,11,4
Dominos,Cinnamon Bread Twists,250,12,31,5
Dominos,Classic Garden Salad,200,9,17,8
Dominos,Boneless Chicken,170,7,18,9
Dominos,Classic Hot Buffalo Specialty Chicken,180,10,14,9
Dominos,Spicy Jalapeno  Pineapple Specialty Chicken,180,8,22,9
Dominos,Crispy Bacon  Tomato Specialty Chicken,250,17,15,11
Dominos,Sweet BBQ Bacon Specialty Chicken,210,10,20,11
Dominos,Lg Thin Crust Pizza,273,12,31,12
Dominos,BBQ Wings,240,13,18,13
Dominos,Fire Wings,200,13,8,13
Dominos,Hot Wings,200,13,8,13
Dominos,Mild Wings,200,13,8,13
Dominos,Plain Wings,190,13,7,13
Dominos,Red BBQ Wings,230,13,15,13
Dominos,Sweet Mango Habanero Wings,240,13,20,13
Dominos,Chicken Apple Pecan Salad,190,5,23,13
Dominos,Lg Hand Tossed Cheese Pizza,374,11,55,15
Dominos,Pasta Primavera Regular,550,27,61,16
Dominos,Chicken Caesar Salad,210,7,15,16
Dominos,Philly Cheese Steak,320,12,37,17
Dominos,Lg Deep Dish Cheese Pizza,455,20,54,18
Dominos,Mediterranean Veggie Sandwich,350,14,38,18
Dominos,Pasta Primavera Bread Bowl,660,24,91,19
Dominos,Buffalo Chicken Sandwich,420,21,37,22
Dominos,Italian Sandwich,410,20,36,22
Dominos,6 inch Deep Dish Pizza,598,27,68,23
Dominos,Sweet  Spicy Chicken Habanero Sandwich,400,16,42,23
Dominos,Chicken Bacon Ranch Sandwich,440,22,36,24
Dominos,Chicken Alfredo Pasta Bread Bowl,690,25,91,25
Dominos,Italian Sausage Marinara Pasta Bread Bowl,730,27,96,25
Dominos,Chicken Parm Sandwich,380,15,37,25
Dominos,Chicken Alfredo Pasta Regular,620,30,60,27
Dominos,Chicken Carbonara Pasta Bread Bowl,730,28,92,27
Dominos,Italian Sausage Marinara Pasta regular,690,34,70,28
Dominos,Chicken Carbonara Pasta Regular,690,35,63,32
KFC,Colonels Buttery Spread,30,4,0,0
KFC,Creamy Ranch Dipping Sauce Cup,140,15,1,0
KFC,HBBQ Dipping Sauce Cup,40,0,9,0
KFC,Honey Mustard Dipping Sauce Cup,120,10,6,0
KFC,Honey Sauce Packet,30,0,8,0
KFC,Sweet and Sour Dipping Sauce Cup,45,0,12,0
KFC,Heinz Buttermilk Ranch Dressing,160,17,1,0
KFC,Marzetti Light Italian Dressing,15,1,2,0
KFC,Bacon Ranch Dipping Sauce Cup,140,15,1,0
KFC,Creamy Buffalo Dipping Sauce Cup,70,7,2,0
KFC,Creamy Buffalo Dipping Sauce Cup,70,7,2,0
KFC,Orange Ginger Dipping Sauce Cup,50,0,11,0
KFC,Hidden Valley The Original Ranch Fat Free Dressing,35,0,8,1
KFC,House Side Salad without Dressing,15,0,3,1
KFC,Parmesan Garlic Croutons Pouch,70,3,8,1
KFC,Cole Slaw,180,10,20,1
KFC,Finger Lickin Good Dipping Sauce Cup,130,12,5,1
KFC,Gravy with Bites,50,3,7,1
KFC,Green Beans,25,0,4,1
KFC,Apple Turnover,250,12,33,2
KFC,Cafe Valley Bakery Lemon Cake,210,11,28,2
KFC,Sweet Life Chocolate Chip Cookie,160,8,21,2
KFC,Sweet Life Oatmeal Raisin Cookie,150,6,22,2
KFC,KFC Creamy Parmesan Caesar Dressing,260,26,4,2
KFC,Corn on the Cob 3,70,1,16,2
KFC,Mashed Potatoes with Gravy,120,4,19,2
KFC,Mashed Potatoes without Gravy,90,3,15,2
KFC,Cafe Valley Bakery Mini Chocolate Chip Cake,300,12,49,3
KFC,Cafe Valley Bakery Mini Lemon Cake,300,13,43,3
KFC,Oreo Cookies and Creme Pie Slice,290,16,34,3
KFC,Caesar Side Salad without Dressing  Croutons,40,2,2,3
KFC,KFC Cornbread Muffin,210,9,28,3
KFC,Sweet Kernel Corn,100,1,21,3
KFC,Cafe Valley Bakery Chocolate Chip Cake,300,15,39,4
KFC,Biscuit,180,8,23,4
KFC,Potato Wedges,290,15,35,4
KFC,Fiery Buffalo Hot Wings 1,70,4,5,4
KFC,HBBQ Hot Wings 1,80,4,8,4
KFC,Hot Wings 1,70,4,4,4
KFC,Reeses Peanut Butter Pie Slice,310,19,31,5
KFC,Macaroni and Cheese,160,7,19,5
KFC,BBQ Baked Beans,210,2,41,8
KFC,Grilled Chicken Whole Wing,80,5,1,10
KFC,Original Recipe Chicken Drumstick,120,7,3,11
KFC,Original Recipe Chicken Whole Wing,120,7,3,11
KFC,Spicy Crispy Drumstick,160,10,5,11
KFC,Spicy Crispy Whole Wing,170,12,6,11
KFC,KFC Gizzards,200,11,15,11
KFC,KFC Livers,180,10,11,11
KFC,Extra Crispy Tenders 1Kids,130,7,6,11
KFC,Extra Crispy Chicken Drumstick,150,10,5,12
KFC,Extra Crispy Chicken Whole Wing,190,13,6,12
KFC,Country Fried Steak with Peppered White Gravy,380,27,23,12
KFC,Country Fried Steak without Peppered White Gravy,350,25,19,12
KFC,SnackSize Bowl,260,13,26,12
KFC,Grilled Chicken Drumstick,90,4,0,13
KFC,Popcorn Chicken Nuggets Kids,290,19,19,13
KFC,Chicken Little,320,19,24,14
KFC,Chicken Little wo Sauce,230,8,24,14
KFC,Fiery Buffalo Hot Wings Go Cup,510,28,50,15
KFC,HBBQ Hot Wings Go Cup,540,28,58,15
KFC,Hot Wings Go Cup,490,27,45,15
KFC,Original Recipe Chicken Thigh,250,17,7,17
KFC,Spicy Crispy Thigh,360,27,13,17
KFC,Chicken Littles Go Cup,600,33,58,18
KFC,Popcorn Chicken Nuggets Go Cup,570,32,53,18
KFC,Grilled Chicken Thigh,170,10,0,19
KFC,Extra Crispy Chicken Thigh,340,24,10,20
KFC,Extra Crispy Tenders 2,250,13,11,22
KFC,Honey BBQ Sandwich,320,4,47,24
KFC,Colonels Original Sandwich,450,20,41,25
KFC,Extra Crispy Tenders Go Cup,540,28,46,26
KFC,KFC Famous BowlsMashed Potato with Gravy,680,31,74,26
KFC,Popcorn Chicken Nuggets Large,620,39,39,27
KFC,Crispy Chicken Caesar Salad without Dressing  Croutons,340,18,16,28
KFC,Crispy Twister,610,33,52,28
KFC,Crispy Twister without Sauce,490,20,51,28
KFC,Chicken Pot Pie,790,45,66,29
KFC,Crispy Chicken BLT Salad without Dressing,360,19,18,30
KFC,Original Recipe ChickenBreast without skin or breading,160,4,2,31
KFC,Doublicious with Original Recipe Filet,520,25,40,32
KFC,Extra Crispy Tenders 3,380,20,17,33
KFC,Original Recipe Chicken Breast,360,21,11,34
KFC,Spicy Crispy Breast,420,25,12,38
KFC,Extra Crispy Chicken Breast,510,33,16,39
KFC,Grilled Chicken Breast,220,7,0,40
MCD,CocaCola Classic Extra Small,110,0,30,0
MCD,CocaCola Classic Large,290,0,77,0
MCD,CocaCola Classic Medium,220,0,57,0
MCD,CocaCola Classic Small,150,0,40,0
MCD,Dasani© Water,0,0,0,0
MCD,Diet Coke Extra Small,0,0,0,0
MCD,Diet Coke Large,0,0,0,0
MCD,Diet Coke Medium,0,0,0,0
MCD,Diet Coke Small,0,0,0,0
MCD,Diet Dr Pepper Extra Small,0,0,0,0
MCD,Diet Dr Pepper Large,0,0,0,0
MCD,Diet Dr Pepper Medium,0,0,0,0
MCD,Diet Dr Pepper Small,0,0,0,0
MCD,Dr Pepper Extra Small,120,0,32,0
MCD,Dr Pepper Large,290,0,79,0
MCD,Dr Pepper Medium,210,0,58,0
MCD,Dr Pepper Small,170,0,46,0
MCD,Iced Tea Small,0,0,0,0
MCD,Minute Maid Apple Juice Box,80,0,21,0
MCD,POWERade Mountain Berry Blast Extra Small,70,0,16,0
MCD,POWERade Mountain Berry Blast Large,170,0,42,0
MCD,POWERade Mountain Berry Blast Medium,150,0,31,0
MCD,POWERade Mountain Berry Blast Small,90,0,22,0
MCD,Sprite Extra Small,110,0,29,0
MCD,Sprite Large,280,0,74,0
MCD,Sprite Medium,210,0,55,0
MCD,Sprite Small,150,0,39,0
MCD,Sweet Tea Extra Small,60,0,15,0
MCD,Sweet Tea Large,160,0,38,0
MCD,Sweet Tea Medium,110,0,28,0
MCD,Sweet Tea Small,90,0,21,0
MCD,Chipotle Barbeque Sauce,50,0,11,0
MCD,Coffee Cream,20,2,0,0
MCD,Creamy Ranch Sauce,110,12,1,0
MCD,EQUAL 0 Calorie Sweetener,0,0,1,0
MCD,Grape Jam,35,0,9,0
MCD,Honey,50,0,12,0
MCD,Honey Mustard Sauce,60,4,6,0
MCD,Hotcake Syrup,180,0,45,0
MCD,Ketchup Packet,10,0,3,0
MCD,Marinara Sauce,15,0,2,0
MCD,Newmans Own Low Fat Balsamic Vinaigrette,35,3,3,0
MCD,Salt Packet,0,0,0,0
MCD,Spicy Buffalo Sauce,35,3,1,0
MCD,SPLENDA No Calorie Sweetener,0,0,1,0
MCD,Strawberry Preserves,35,0,9,0
MCD,Sugar Packet,15,0,4,0
MCD,Sweet N Sour Sauce,50,0,12,0
MCD,Sweet Chili Sauce,50,0,12,0
MCD,Tangy Barbeque Sauce,50,0,12,0
MCD,Tartar Sauce Cup,140,15,0,0
MCD,Whipped Margarine,40,5,0,0
MCD,Americano Large,0,0,0,0
MCD,Americano Medium,0,0,0,0
MCD,Americano Small,0,0,0,0
MCD,Coffee,0,0,0,0
MCD,Apple Dippers,15,0,4,0
MCD,Cuties,35,0,8,0
MCD,Iced Tea Extra Small,0,0,0,1
MCD,Iced Tea Large,5,0,0,1
MCD,Iced Tea Medium,0,0,0,1
MCD,Hash Brown,150,9,16,1
MCD,Hot Habanero Sauce,80,7,5,1
MCD,Newmans Own Creamy Southwest Dressing,100,6,11,1
MCD,Newmans Own Low Fat Italian Dressing,50,3,7,1
MCD,Newmans Own Low Fat Sesame Ginger Dressing,90,3,15,1
MCD,Newmans Own Ranch Dressing,170,15,9,1
MCD,Kiddie Ice Cream Cone,45,1,5,1
MCD,French Fries Kids,110,5,15,1
MCD,Side Salad,20,0,4,1
MCD,Mango Pineapple Smoothie Small,200,1,45,2
MCD,Strawberry Banana Smoothie Small,190,1,44,2
MCD,Peanuts for Sundaes,45,4,2,2
MCD,Baked Hot Apple Pie,230,10,32,2
MCD,Chocolate Chip Cookie,170,7,23,2
MCD,Oatmeal Raisin Cookie,140,5,22,2
MCD,Iced Coffee Caramel,190,8,27,2
MCD,Iced Coffee French Vanilla,190,8,29,2
MCD,Iced Coffee Hazelnut,190,8,29,2
MCD,Iced Coffee Regular,200,8,30,2
MCD,Iced Coffee Sugar Free French Vanilla,90,8,11,2
MCD,Turtle Iced Coffee Extra Small,160,4,30,2
MCD,Turtle Iced Coffee Small,190,6,32,2
MCD,Strawberry Gogurt,50,1,9,2
MCD,Mango Pineapple Smoothie Medium,250,1,57,3
MCD,Minute Maid Orange Juice,190,0,39,3
MCD,Strawberry Banana Smoothie Medium,240,1,55,3
MCD,Strawberry  Creme Pie,300,15,36,3
MCD,Turtle Iced Coffee Medium,240,8,41,3
MCD,French Fries Small,230,11,29,3
MCD,Mango Pineapple Smoothie Large,340,1,78,4
MCD,Strawberry Banana Smoothie Large,330,1,76,4
MCD,Fruit n Yogurt Parfait,150,2,30,4
MCD,Turtle Iced Coffee Large,310,9,55,4
MCD,French Fries Medium,340,16,44,4
MCD,Vanilla Reduced Fat Ice Cream Cone,200,5,23,5
MCD,Vanilla Cappuccino Small,190,5,30,5
MCD,Fruit  Maple Oatmeal w Brown Sugar,310,4,62,6
MCD,Fruit  Maple Oatmeal wo Brown Sugar,260,4,49,6
MCD,Caramel Cappuccino Small,210,5,35,6
MCD,Cold Brew Frappe,360,15,49,6
MCD,Cold Brew Frozen Coffee,290,11,41,6
MCD,Iced Turtle Macchiato Small,250,6,40,6
MCD,Vanilla Cappuccino Medium,230,6,37,6
MCD,Frappe Caramel,450,19,64,7
MCD,Iced Mocha Nonfat,270,8,43,7
MCD,Iced Mocha Regular,310,13,42,7
MCD,Iced Turtle Macchiato Medium,290,7,49,7
MCD,Mocha Frappe,450,18,65,7
MCD,Mocha Regular,330,12,48,7
MCD,Oreo Frappe,540,20,82,7
MCD,Premium Asian Salad wo Chicken,140,7,13,7
MCD,French Fries Large,510,24,66,7
MCD,1 Low Fat Milk Jug,100,3,12,8
MCD,McFlurry w OREO Cookies Snack Size,340,11,40,8
MCD,Strawberry Sundae,320,10,40,8
MCD,Cappuccino Medium,160,8,13,8
MCD,Cappuccino Small,120,6,9,8
MCD,Caramel Cappuccino Medium,260,6,44,8
MCD,Frappe Chocolate Chip,530,23,76,8
MCD,Iced Mocha Caramel,300,14,36,8
MCD,Iced Mocha Nonfat Caramel,230,5,38,8
MCD,Latte Caramel,280,8,43,8
MCD,Latte French Vanilla,280,8,44,8
MCD,Latte Hazelnut,280,8,45,8
MCD,Latte Sugar Free French Vanilla,160,8,21,8
MCD,McCafe Caramel Macchiato Small,260,7,41,8
MCD,Mocha Caramel,290,12,39,8
MCD,Mocha Nonfat,280,6,50,8
MCD,Turtle Macchiato Small,310,8,50,8
MCD,Premium Southwest Salad wo Chicken,220,10,26,8
MCD,Fat Free Chocolate Milk Jug,130,0,23,9
MCD,Hotcakes,600,16,102,9
MCD,Hot Caramel Sundae,380,6,51,9
MCD,McFlurry w MMs Candies Snack Size,420,15,51,9
MCD,Mocha Nonfat Caramel,240,4,41,9
MCD,Nonfat Latte Caramel,220,0,45,9
MCD,Nonfat Latte French Vanilla,220,0,46,9
MCD,Nonfat Latte Hazelnut,220,0,46,9
MCD,Nonfat Latte Sugar Free French Vanilla,90,0,22,9
MCD,Turtle Macchiato Medium,370,10,60,9
MCD,Vanilla Cappuccino Large,310,9,47,9
MCD,Chicken McNuggets 4 Piece,180,11,11,10
MCD,Hot Fudge Sundae,380,8,43,10
MCD,Rolo McFlurry Snack Size,510,16,84,10
MCD,Hot Chocolate Regular,380,15,53,10
MCD,Iced Turtle Macchiato Large,410,10,68,10
MCD,Latte Regular,180,10,13,10
MCD,McCafe Caramel Macchiato Medium,320,9,50,10
MCD,McCafe Peppermint Mocha Small,340,12,48,10
MCD,Nonfat Latte Regular,110,0,15,10
MCD,Sausage Biscuit Regular Size,460,30,36,11
